Nomor Kontrak,Nama Vendor,Jenis Pengadaan,Durasi Kontrak (hari),HPS,Risk Level,Priority,Predicted Duration
PK-76159,PT Mardhiyah Nurdiyanti (Persero) Tbk,Pengadaan Barang,119,4756835621,Tinggi,Penting,79 hari
PK-898,UD Tamba Tbk,Pengadaan Barang,262,"773277924,9",Sedang,Penting,222 hari
PK-65158,PT Andriani,Pengadaan Barang,124,"310813908,5",Rendah,Penting,84 hari
PK-72959,CV Latupono (Persero) Tbk,Jasa Konsultansi,213,3962479003,Tinggi,Penting,173 hari
PK-88259,UD Lailasari,Jasa Konsultansi,315,4177318773,Tinggi,Penting,275 hari
PK-34144,PT Nashiruddin Tbk,Pengadaan Jasa,329,1791198327,Tinggi,Penting,289 hari
PK-8999,PD Sihombing Irawan,Jasa Konsultansi,213,4098702780,Tinggi,Penting,173 hari
PK-7321,CV Haryanti Dongoran Tbk,Pengembangan Sistem,53,3297984558,Tinggi,Penting,13 hari
PK-59439,PD Lazuardi Tbk,Lisensi & Perangkat Lunak,97,3265033549,Tinggi,Penting,57 hari
PK-2088,UD Iswahyudi Nababan,Jasa Konsultansi,145,3849263972,Tinggi,Penting,105 hari
PK-6451,UD Siregar (Persero) Tbk,Lisensi & Perangkat Lunak,203,2786318135,Tinggi,Penting,163 hari
PK-80211,Perum Latupono Maryadi,Pengembangan Sistem,123,"317260592,2",Rendah,Penting,83 hari
PK-14481,PT Mahendra Usada,Pengadaan Barang,207,"969445614,7",Sedang,Penting,167 hari
PK-63178,CV Haryanti Dongoran Tbk,Pengadaan Jasa,80,2970442884,Tinggi,Penting,40 hari
PK-90870,CV Jailani Simbolon,Pengadaan Jasa,187,"776304979,5",Sedang,Penting,147 hari
PK-60034,Perum Rajata Tbk,Jasa Konsultansi,122,4785225246,Tinggi,Penting,82 hari
PK-74601,CV Gunarto (Persero) Tbk,Lisensi & Perangkat Lunak,229,"334590499,3",Rendah,Penting,189 hari
PK-91770,Perum Halim Gunawan,Pengadaan Jasa,37,3934593906,Tinggi,Penting,-3 hari
PK-67475,CV Handayani (Persero) Tbk,Pengembangan Sistem,62,3935698067,Tinggi,Penting,22 hari
PK-69082,UD Habibi Namaga,Lisensi & Perangkat Lunak,191,"848333333,8",Sedang,Penting,151 hari
PK-50774,Perum Utama (Persero) Tbk,Pengembangan Sistem,41,4851614020,Tinggi,Penting,1 hari
PK-2696,PT Simbolon Rahmawati Tbk,Pengadaan Jasa,124,2661190776,Tinggi,Penting,84 hari
PK-14985,Perum Nuraini Namaga (Persero) Tbk,Lisensi & Perangkat Lunak,120,1966696825,Tinggi,Penting,80 hari
PK-67749,CV Winarno Samosir (Persero) Tbk,Jasa Konsultansi,102,"779735888,4",Sedang,Penting,62 hari
PK-63110,PT Jailani,Lisensi & Perangkat Lunak,204,2849241353,Tinggi,Penting,164 hari
PK-26342,Perum Santoso,Pengadaan Jasa,100,4290934464,Tinggi,Penting,60 hari
PK-73035,CV Widodo Winarsih,Lisensi & Perangkat Lunak,231,1962662958,Tinggi,Penting,191 hari
PK-75073,Perum Januar,Lisensi & Perangkat Lunak,194,1191157710,Tinggi,Penting,154 hari
PK-45128,PD Laksmiwati Haryanto,Pengadaan Barang,98,"858257484,2",Sedang,Penting,58 hari
PK-88637,PT Jailani,Pengadaan Barang,154,2587446887,Tinggi,Penting,114 hari
PK-66555,PT Suryono,Jasa Konsultansi,301,2048237256,Tinggi,Penting,261 hari
PK-46550,Perum Fujiati Suartini,Pengembangan Sistem,309,4234818786,Tinggi,Penting,269 hari
PK-6774,PD Lazuardi Tbk,Pengembangan Sistem,116,3721497282,Tinggi,Penting,76 hari
PK-32777,PT Wibisono Winarsih (Persero) Tbk,Lisensi & Perangkat Lunak,317,3776026774,Tinggi,Penting,277 hari
PK-38471,PT Wibisono Winarsih (Persero) Tbk,Pengembangan Sistem,292,1955943070,Tinggi,Penting,252 hari
PK-72702,UD Lailasari Zulaika (Persero) Tbk,Lisensi & Perangkat Lunak,234,"649165016,1",Sedang,Penting,194 hari
PK-62212,CV Rajasa Setiawan Tbk,Lisensi & Perangkat Lunak,97,4564420112,Tinggi,Penting,57 hari
PK-35802,CV Handayani (Persero) Tbk,Pengadaan Barang,118,4829124491,Tinggi,Penting,78 hari
PK-1275,UD Sirait (Persero) Tbk,Pengadaan Barang,237,4448252425,Tinggi,Penting,197 hari
PK-72257,Perum Megantara,Jasa Konsultansi,99,"246657657,9",Rendah,Penting,59 hari
PK-67902,PT Mahendra Usada,Jasa Konsultansi,137,"587946015,4",Sedang,Penting,97 hari
PK-39730,UD Puspita Tbk,Pengembangan Sistem,115,1028877581,Tinggi,Penting,75 hari
PK-18519,CV Rajasa Setiawan Tbk,Pengembangan Sistem,314,3369612955,Tinggi,Penting,274 hari
PK-4805,UD Sihombing Siregar (Persero) Tbk,Pengadaan Barang,210,3617204752,Tinggi,Penting,170 hari
PK-5136,Perum Fujiati Suartini,Pengadaan Barang,283,3516601539,Tinggi,Penting,243 hari
PK-97252,PD Dongoran Anggriawan (Persero) Tbk,Jasa Konsultansi,172,"467585270,2",Rendah,Penting,132 hari
PK-28704,PD Situmorang Wahyudin,Pengadaan Barang,117,4109869843,Tinggi,Penting,77 hari
PK-24739,CV Winarno Samosir (Persero) Tbk,Pengembangan Sistem,322,"639685923,1",Sedang,Penting,282 hari
PK-66290,UD Lailasari Zulaika (Persero) Tbk,Pengembangan Sistem,306,"476283092,9",Rendah,Penting,266 hari
PK-74790,CV Rajasa Setiawan Tbk,Jasa Konsultansi,285,2920370788,Tinggi,Penting,245 hari
PK-6314,Perum Rajata Tbk,Pengembangan Sistem,64,2743929852,Tinggi,Penting,24 hari
PK-75635,PD Thamrin (Persero) Tbk,Lisensi & Perangkat Lunak,357,2099963795,Tinggi,Penting,317 hari
PK-63927,Perum Winarno,Lisensi & Perangkat Lunak,327,4848115840,Tinggi,Penting,287 hari
PK-85405,UD Sihombing Siregar (Persero) Tbk,Jasa Konsultansi,38,1102143940,Tinggi,Penting,-2 hari
PK-91442,PT Saputra Hasanah,Lisensi & Perangkat Lunak,313,"426322414,2",Rendah,Penting,273 hari
PK-85493,PT Wibisono Winarsih (Persero) Tbk,Pengembangan Sistem,84,4598227215,Tinggi,Penting,44 hari
PK-70583,Perum Januar,Pengembangan Sistem,349,"763380494,4",Sedang,Penting,309 hari
PK-61180,PT Anggraini Permadi Tbk,Pengembangan Sistem,237,3116527223,Tinggi,Penting,197 hari
PK-74388,UD Samosir Prayoga Tbk,Jasa Konsultansi,78,3032802244,Tinggi,Penting,38 hari
PK-85651,CV Utama Tbk,Jasa Konsultansi,362,"617245977,1",Sedang,Penting,322 hari
PK-3061,Perum Winarno,Pengadaan Barang,351,"383228681,6",Rendah,Penting,311 hari
PK-99693,PT Jailani,Jasa Konsultansi,273,4317644339,Tinggi,Penting,233 hari
PK-29397,Perum Utama (Persero) Tbk,Pengadaan Jasa,309,3879765080,Tinggi,Penting,269 hari
PK-27755,PT Mardhiyah Nurdiyanti (Persero) Tbk,Lisensi & Perangkat Lunak,155,3103610589,Tinggi,Penting,115 hari
PK-76043,PD Usamah Wibisono Tbk,Pengadaan Jasa,46,"516450995,7",Sedang,Penting,6 hari
PK-58436,UD Iswahyudi Nababan,Jasa Konsultansi,242,"635439987,4",Sedang,Penting,202 hari
PK-76360,PT Mardhiyah Nurdiyanti (Persero) Tbk,Pengadaan Barang,258,2339703625,Tinggi,Penting,218 hari
PK-701,PD Dongoran Widodo,Pengembangan Sistem,47,3192280778,Tinggi,Penting,7 hari
PK-81254,UD Haryanti,Pengembangan Sistem,354,2087338646,Tinggi,Penting,314 hari
PK-36140,UD Pradana Latupono Tbk,Pengadaan Barang,43,2406830189,Tinggi,Penting,3 hari
PK-81222,PD Sihombing Irawan,Pengadaan Barang,302,"187632230,4",Rendah,Penting,262 hari
PK-80168,PD Laksita (Persero) Tbk,Pengembangan Sistem,192,"488403591,5",Rendah,Penting,152 hari
PK-69653,PD Sihotang (Persero) Tbk,Pengembangan Sistem,138,4916080239,Tinggi,Penting,98 hari
PK-52466,UD Iswahyudi Nababan,Jasa Konsultansi,353,3908603591,Tinggi,Penting,313 hari
PK-4206,Perum Utama (Persero) Tbk,Pengadaan Jasa,213,1555242258,Tinggi,Penting,173 hari
PK-17786,PT Wibisono Winarsih (Persero) Tbk,Lisensi & Perangkat Lunak,326,2632693940,Tinggi,Penting,286 hari
PK-13158,UD Uwais Utama,Lisensi & Perangkat Lunak,181,3765268737,Tinggi,Penting,141 hari
PK-64576,UD Habibi Namaga,Pengadaan Jasa,57,1060999551,Tinggi,Penting,17 hari
PK-86829,PT Nashiruddin Tbk,Lisensi & Perangkat Lunak,324,2442770832,Tinggi,Penting,284 hari
PK-44509,CV Widiastuti Maulana,Pengembangan Sistem,310,"443920479,1",Rendah,Penting,270 hari
PK-10612,PT Pratama Hidayat (Persero) Tbk,Pengadaan Barang,62,"77125482,8",Rendah,Penting,22 hari
PK-42568,PT Andriani,Pengembangan Sistem,45,4284550279,Tinggi,Penting,5 hari
PK-5062,Perum Fujiati Suartini,Lisensi & Perangkat Lunak,54,"813100241,6",Sedang,Penting,14 hari
PK-25642,PD Laksita Sinaga Tbk,Lisensi & Perangkat Lunak,99,1511608713,Tinggi,Penting,59 hari
PK-39255,PD Laksita Sinaga Tbk,Pengadaan Jasa,275,2691511893,Tinggi,Penting,235 hari
PK-5009,Perum Laksita (Persero) Tbk,Pengembangan Sistem,290,2855944024,Tinggi,Penting,250 hari
PK-85926,CV Gunarto (Persero) Tbk,Jasa Konsultansi,191,3331323972,Tinggi,Penting,151 hari
PK-85445,PD Ardianto Ardianto,Pengadaan Barang,312,1036893932,Tinggi,Penting,272 hari
PK-45906,CV Handayani (Persero) Tbk,Jasa Konsultansi,144,"858511457,1",Sedang,Penting,104 hari
PK-70980,PT Mahendra Usada,Pengadaan Jasa,284,3513522053,Tinggi,Penting,244 hari
PK-48947,PT Haryanti,Pengadaan Jasa,137,3403858840,Tinggi,Penting,97 hari
PK-6242,PD Laksita (Persero) Tbk,Pengembangan Sistem,337,2857736509,Tinggi,Penting,297 hari
PK-11511,UD Haryanti,Jasa Konsultansi,216,2788997083,Tinggi,Penting,176 hari
PK-95955,Perum Utami,Pengadaan Jasa,343,1433178757,Tinggi,Penting,303 hari
PK-98961,PT Namaga (Persero) Tbk,Pengadaan Jasa,297,1706763621,Tinggi,Penting,257 hari
PK-88792,PD Lazuardi Tbk,Pengadaan Jasa,231,1772708148,Tinggi,Penting,191 hari
PK-57045,PT Damanik (Persero) Tbk,Pengadaan Jasa,224,1041388346,Tinggi,Penting,184 hari
PK-98460,PT Mandasari,Pengadaan Barang,248,2677336101,Tinggi,Penting,208 hari
PK-41091,PT Damanik (Persero) Tbk,Jasa Konsultansi,60,3029701432,Tinggi,Penting,20 hari
PK-39863,PT Zulkarnain,Pengembangan Sistem,206,"453839388,4",Rendah,Penting,166 hari
PK-16238,PD Sihotang (Persero) Tbk,Lisensi & Perangkat Lunak,306,4121077034,Tinggi,Penting,266 hari
PK-70340,PD Thamrin (Persero) Tbk,Pengembangan Sistem,230,2996229156,Tinggi,Penting,190 hari
PK-65417,UD Lailasari Zulaika (Persero) Tbk,Jasa Konsultansi,185,4773677049,Tinggi,Penting,145 hari
PK-3098,UD Puspita Tbk,Pengadaan Jasa,126,"139478556,4",Rendah,Penting,86 hari
PK-3227,Perum Megantara,Pengadaan Barang,208,4350520349,Tinggi,Penting,168 hari
PK-62182,Perum Nuraini Namaga (Persero) Tbk,Lisensi & Perangkat Lunak,62,3601940971,Tinggi,Penting,22 hari
PK-40387,PD Simbolon Rahayu,Pengadaan Jasa,357,2290246200,Tinggi,Penting,317 hari
PK-93204,PT Zulkarnain,Pengadaan Barang,299,"981785994,8",Sedang,Penting,259 hari
PK-53556,UD Najmudin Tbk,Pengadaan Barang,66,1368726828,Tinggi,Penting,26 hari
PK-48279,CV Andriani Latupono,Pengadaan Barang,58,4451580023,Tinggi,Penting,18 hari
PK-20308,UD Prasasta Wahyudin Tbk,Pengadaan Barang,207,1309360414,Tinggi,Penting,167 hari
PK-71108,Perum Mandala Permadi,Pengembangan Sistem,162,1995086457,Tinggi,Penting,122 hari
PK-73738,Perum Hidayat Permata (Persero) Tbk,Lisensi & Perangkat Lunak,171,4512520597,Tinggi,Penting,131 hari
PK-16358,PT Simbolon Rahmawati Tbk,Jasa Konsultansi,252,"81962541,71",Rendah,Penting,212 hari
PK-75064,PD Sihombing Irawan,Pengadaan Jasa,217,3873255441,Tinggi,Penting,177 hari
PK-94486,Perum Halim Gunawan,Pengadaan Jasa,334,"723570259,1",Sedang,Penting,294 hari
PK-92294,Perum Rajata Tbk,Pengembangan Sistem,78,1319833230,Tinggi,Penting,38 hari
PK-3977,PT Pratama Hidayat (Persero) Tbk,Pengadaan Barang,299,"921985293,4",Sedang,Penting,259 hari
PK-40587,PT Nashiruddin Tbk,Lisensi & Perangkat Lunak,200,2649336472,Tinggi,Penting,160 hari
PK-39010,PD Yulianti Nababan,Lisensi & Perangkat Lunak,185,4287508498,Tinggi,Penting,145 hari
PK-80207,PT Haryanti,Pengadaan Barang,53,"68639736,23",Rendah,Penting,13 hari
PK-50175,CV Rahmawati Marpaung Tbk,Pengadaan Barang,299,2181464897,Tinggi,Penting,259 hari
PK-25567,CV Rajasa Setiawan Tbk,Pengembangan Sistem,332,"995075511,3",Sedang,Penting,292 hari
PK-5795,PT Jailani,Lisensi & Perangkat Lunak,365,4252703561,Tinggi,Penting,325 hari
PK-22971,UD Samosir Prayoga Tbk,Pengadaan Jasa,354,3205448318,Tinggi,Penting,314 hari
PK-57036,Perum Kusmawati Prayoga Tbk,Jasa Konsultansi,183,1119977542,Tinggi,Penting,143 hari
PK-68007,Perum Mandala Permadi,Pengadaan Jasa,55,4226400540,Tinggi,Penting,15 hari
PK-7851,PT Mardhiyah Nurdiyanti (Persero) Tbk,Pengadaan Jasa,242,1048496494,Tinggi,Penting,202 hari
PK-48514,PT Mandasari,Jasa Konsultansi,217,1164319008,Tinggi,Penting,177 hari
PK-74712,PT Anggraini Permadi Tbk,Pengadaan Jasa,220,4232471425,Tinggi,Penting,180 hari
PK-2493,CV Maryadi (Persero) Tbk,Pengembangan Sistem,139,2031010518,Tinggi,Penting,99 hari
PK-53223,CV Maryadi (Persero) Tbk,Lisensi & Perangkat Lunak,167,2916179258,Tinggi,Penting,127 hari
PK-9312,CV Handayani (Persero) Tbk,Pengembangan Sistem,268,"479573185,7",Rendah,Penting,228 hari
PK-39046,UD Iswahyudi Nababan,Jasa Konsultansi,181,3252109853,Tinggi,Penting,141 hari
PK-79707,UD Lailasari,Pengadaan Jasa,161,2843328098,Tinggi,Penting,121 hari
PK-86850,CV Yolanda Wijaya,Pengembangan Sistem,195,4925617005,Tinggi,Penting,155 hari
PK-29162,CV Salahudin Tbk,Pengadaan Barang,326,"921167191,2",Sedang,Penting,286 hari
PK-60128,PD Prasetya Pratama Tbk,Pengadaan Jasa,90,"650828129,9",Sedang,Penting,50 hari
PK-80230,UD Jailani Tbk,Pengadaan Barang,129,2489773541,Tinggi,Penting,89 hari
PK-3867,UD Haryanti,Pengadaan Barang,170,"981127753,6",Sedang,Penting,130 hari
PK-43604,CV Winarno Samosir (Persero) Tbk,Pengadaan Barang,299,4651156146,Tinggi,Penting,259 hari
PK-21841,UD Pradana Latupono Tbk,Pengembangan Sistem,172,2093188295,Tinggi,Penting,132 hari
PK-5350,UD Sirait (Persero) Tbk,Pengadaan Jasa,43,2631999434,Tinggi,Penting,3 hari
PK-31610,PD Usamah Wibisono Tbk,Jasa Konsultansi,351,4701426627,Tinggi,Penting,311 hari
PK-24644,Perum Rahayu Firgantoro,Jasa Konsultansi,227,2839800474,Tinggi,Penting,187 hari
PK-86593,UD Siregar (Persero) Tbk,Pengadaan Barang,96,"673967215,7",Sedang,Penting,56 hari
PK-37865,UD Siregar (Persero) Tbk,Pengembangan Sistem,316,4150635639,Tinggi,Penting,276 hari
PK-29099,PD Lazuardi Tbk,Pengadaan Barang,90,1283851074,Tinggi,Penting,50 hari
PK-83303,CV Widiastuti Maulana,Pengembangan Sistem,307,1454685605,Tinggi,Penting,267 hari
PK-84543,PT Halimah,Lisensi & Perangkat Lunak,209,"159516143,2",Rendah,Penting,169 hari
PK-18692,UD Lailasari,Jasa Konsultansi,184,3348441576,Tinggi,Penting,144 hari
PK-70827,Perum Santoso,Jasa Konsultansi,360,4602132186,Tinggi,Penting,320 hari
PK-20343,Perum Winarno,Lisensi & Perangkat Lunak,219,1544172790,Tinggi,Penting,179 hari
PK-51717,CV Mansur,Jasa Konsultansi,310,2335748317,Tinggi,Penting,270 hari
PK-11767,PD Dongoran Widodo,Pengadaan Barang,280,"673298356,2",Sedang,Penting,240 hari
PK-60941,PT Haryanti,Lisensi & Perangkat Lunak,47,3550085019,Tinggi,Penting,7 hari
PK-3289,PD Laksita Sinaga Tbk,Jasa Konsultansi,169,4001605076,Tinggi,Penting,129 hari
PK-27681,CV Widodo Winarsih,Pengadaan Barang,315,4391729100,Tinggi,Penting,275 hari
PK-71437,PD Halimah,Jasa Konsultansi,58,"339612962,7",Rendah,Penting,18 hari
PK-18259,Perum Utami,Pengembangan Sistem,70,2037555264,Tinggi,Penting,30 hari
PK-22611,PD Mayasari Oktaviani Tbk,Pengembangan Sistem,98,1805805921,Tinggi,Penting,58 hari
PK-6935,UD Siregar (Persero) Tbk,Pengadaan Jasa,86,2759510834,Tinggi,Penting,46 hari
PK-61258,PT Zulkarnain,Lisensi & Perangkat Lunak,126,1361167914,Tinggi,Penting,86 hari
PK-87615,UD Lailasari Zulaika (Persero) Tbk,Lisensi & Perangkat Lunak,83,1748102108,Tinggi,Penting,43 hari
PK-58702,Perum Hidayat Permata (Persero) Tbk,Lisensi & Perangkat Lunak,318,2312428519,Tinggi,Penting,278 hari
PK-48373,UD Puspita Tbk,Pengembangan Sistem,121,1410128702,Tinggi,Penting,81 hari
PK-3991,PD Usamah Wibisono Tbk,Lisensi & Perangkat Lunak,179,1726620227,Tinggi,Penting,139 hari
PK-22110,PT Mahendra Usada,Pengadaan Barang,145,1717586543,Tinggi,Penting,105 hari
PK-26766,PT Mahendra Usada,Jasa Konsultansi,361,2974484682,Tinggi,Penting,321 hari
PK-8103,PT Hariyah Tbk,Pengadaan Jasa,267,"674297314,1",Sedang,Penting,227 hari
PK-77553,Perum Hidayat Permata (Persero) Tbk,Pengadaan Barang,362,1524262327,Tinggi,Penting,322 hari
PK-16055,PD Thamrin (Persero) Tbk,Lisensi & Perangkat Lunak,356,"325509387,5",Rendah,Penting,316 hari
PK-45369,PT Zulkarnain,Pengadaan Barang,161,"64501719,82",Rendah,Penting,121 hari
PK-1956,CV Jailani Simbolon,Pengembangan Sistem,154,4472878502,Tinggi,Penting,114 hari
PK-65885,PD Laksmiwati Haryanto,Lisensi & Perangkat Lunak,119,2577840840,Tinggi,Penting,79 hari
PK-40223,PT Damanik (Persero) Tbk,Pengadaan Barang,97,1586675558,Tinggi,Penting,57 hari
PK-69313,PT Zulkarnain,Lisensi & Perangkat Lunak,322,2157604176,Tinggi,Penting,282 hari
PK-31377,UD Santoso Puspita (Persero) Tbk,Pengadaan Jasa,104,1852172787,Tinggi,Penting,64 hari
PK-14414,PT Halimah,Jasa Konsultansi,70,2048438623,Tinggi,Penting,30 hari
PK-78547,Perum Latupono Maryadi,Lisensi & Perangkat Lunak,112,2473165638,Tinggi,Penting,72 hari
PK-21705,CV Maryadi (Persero) Tbk,Lisensi & Perangkat Lunak,228,1911853767,Tinggi,Penting,188 hari
PK-75904,Perum Yolanda (Persero) Tbk,Lisensi & Perangkat Lunak,159,1252670072,Tinggi,Penting,119 hari
PK-32375,Perum Waluyo (Persero) Tbk,Pengadaan Barang,129,1821713783,Tinggi,Penting,89 hari
PK-13967,PD Usamah Wibisono Tbk,Pengadaan Jasa,216,2529942386,Tinggi,Penting,176 hari
PK-98692,CV Narpati Tbk,Pengembangan Sistem,43,2687901185,Tinggi,Penting,3 hari
PK-48956,CV Rajasa Setiawan Tbk,Pengadaan Jasa,232,"949261311,2",Sedang,Penting,192 hari
PK-93242,UD Sihombing Siregar (Persero) Tbk,Pengadaan Barang,248,1687586595,Tinggi,Penting,208 hari
PK-16301,UD Tamba Tbk,Pengembangan Sistem,100,1124620934,Tinggi,Penting,60 hari
PK-16754,CV Maryadi (Persero) Tbk,Pengembangan Sistem,297,1115711810,Tinggi,Penting,257 hari
PK-1078,PT Nainggolan Hakim,Pengadaan Barang,164,3964763487,Tinggi,Penting,124 hari
PK-80497,Perum Aryani,Lisensi & Perangkat Lunak,73,2267175997,Tinggi,Penting,33 hari
PK-52736,Perum Januar,Pengadaan Jasa,360,3294440335,Tinggi,Penting,320 hari
PK-71724,UD Lailasari Zulaika (Persero) Tbk,Pengadaan Barang,186,1811334494,Tinggi,Penting,146 hari
PK-59350,Perum Fujiati Suartini,Pengembangan Sistem,335,4288724069,Tinggi,Penting,295 hari
PK-26737,CV Rajasa Setiawan Tbk,Jasa Konsultansi,287,1489938784,Tinggi,Penting,247 hari
PK-85958,Perum Santoso,Pengembangan Sistem,297,2754707054,Tinggi,Penting,257 hari
PK-53422,CV Narpati Tbk,Lisensi & Perangkat Lunak,309,4647166165,Tinggi,Penting,269 hari
PK-46058,UD Najmudin Tbk,Jasa Konsultansi,296,2180315208,Tinggi,Penting,256 hari
PK-19357,UD Haryanti,Pengadaan Barang,51,2022177788,Tinggi,Penting,11 hari
PK-41158,PD Usamah Wibisono Tbk,Jasa Konsultansi,63,4976473799,Tinggi,Penting,23 hari
PK-32254,PD Thamrin (Persero) Tbk,Lisensi & Perangkat Lunak,304,4509492091,Tinggi,Penting,264 hari
PK-41748,Perum Laksita (Persero) Tbk,Jasa Konsultansi,314,826478080,Sedang,Penting,274 hari
PK-98901,CV Widodo Winarsih,Pengadaan Jasa,166,"214330155,9",Rendah,Penting,126 hari
PK-36320,UD Prasasta Wahyudin Tbk,Jasa Konsultansi,241,"424052079,7",Rendah,Penting,201 hari
PK-40267,PT Namaga (Persero) Tbk,Pengadaan Jasa,350,"427066324,3",Rendah,Penting,310 hari
PK-26070,CV Jailani Simbolon,Pengadaan Jasa,181,3099631958,Tinggi,Penting,141 hari
PK-77274,PT Hastuti Permata,Pengembangan Sistem,283,696850883,Sedang,Penting,243 hari
PK-27444,CV Utama Tbk,Jasa Konsultansi,87,3456630657,Tinggi,Penting,47 hari
PK-98821,UD Lailasari Zulaika (Persero) Tbk,Lisensi & Perangkat Lunak,359,"500627729,5",Sedang,Penting,319 hari
PK-47229,PT Mandasari,Lisensi & Perangkat Lunak,196,4279230260,Tinggi,Penting,156 hari
PK-37902,UD Lailasari Zulaika (Persero) Tbk,Pengadaan Barang,62,4469452024,Tinggi,Penting,22 hari
PK-59992,PT Andriani,Pengadaan Barang,246,1231741979,Tinggi,Penting,206 hari
PK-40697,PD Laksita Sinaga Tbk,Lisensi & Perangkat Lunak,259,3969188100,Tinggi,Penting,219 hari
PK-69420,CV Widodo Winarsih,Pengadaan Barang,240,1197239242,Tinggi,Penting,200 hari
PK-23877,PT Halimah,Jasa Konsultansi,132,2553510773,Tinggi,Penting,92 hari
PK-31622,PD Halimah,Jasa Konsultansi,126,1226821366,Tinggi,Penting,86 hari
PK-25980,UD Uwais Utama,Pengembangan Sistem,36,"418429042,6",Rendah,Penting,-4 hari
PK-56098,CV Rajasa Setiawan Tbk,Pengadaan Barang,56,4362969206,Tinggi,Penting,16 hari
PK-90699,CV Latupono (Persero) Tbk,Lisensi & Perangkat Lunak,253,4493476458,Tinggi,Penting,213 hari
PK-41168,Perum Laksita (Persero) Tbk,Jasa Konsultansi,208,1362300953,Tinggi,Penting,168 hari
PK-42836,Perum Winarno,Pengembangan Sistem,232,2825278820,Tinggi,Penting,192 hari
PK-79696,Perum Januar,Pengembangan Sistem,295,"342345882,5",Rendah,Penting,255 hari
PK-49594,PD Simbolon Rahayu,Jasa Konsultansi,223,"443333401,6",Rendah,Penting,183 hari
PK-85697,PT Mandasari,Pengembangan Sistem,326,1883816187,Tinggi,Penting,286 hari
PK-80586,CV Hidayat Latupono (Persero) Tbk,Lisensi & Perangkat Lunak,45,"761502713,5",Sedang,Penting,5 hari
PK-5686,CV Jailani Simbolon,Lisensi & Perangkat Lunak,318,2431981755,Tinggi,Penting,278 hari
PK-3432,PT Namaga (Persero) Tbk,Lisensi & Perangkat Lunak,198,3892904206,Tinggi,Penting,158 hari
PK-78719,UD Puspita Tbk,Pengadaan Jasa,296,2354372163,Tinggi,Penting,256 hari
PK-88975,Perum Laksita (Persero) Tbk,Lisensi & Perangkat Lunak,229,2608686758,Tinggi,Penting,189 hari
PK-82984,CV Rajasa Setiawan Tbk,Lisensi & Perangkat Lunak,161,4376256180,Tinggi,Penting,121 hari
PK-15656,PT Jailani Hasanah Tbk,Pengembangan Sistem,252,3554495958,Tinggi,Penting,212 hari
PK-26218,CV Yolanda Wijaya,Lisensi & Perangkat Lunak,239,4295895237,Tinggi,Penting,199 hari
PK-93702,PD Prasetya Pratama Tbk,Pengembangan Sistem,132,"575674444,5",Sedang,Penting,92 hari
PK-58712,Perum Megantara,Jasa Konsultansi,254,2400391935,Tinggi,Penting,214 hari
PK-54415,UD Lailasari Zulaika (Persero) Tbk,Lisensi & Perangkat Lunak,317,4015857068,Tinggi,Penting,277 hari
PK-42907,Perum Yolanda (Persero) Tbk,Pengadaan Jasa,339,3666631028,Tinggi,Penting,299 hari
PK-68007,PT Damanik (Persero) Tbk,Pengembangan Sistem,187,4221116069,Tinggi,Penting,147 hari
PK-50967,PT Mardhiyah Nurdiyanti (Persero) Tbk,Pengembangan Sistem,273,3242975794,Tinggi,Penting,233 hari
PK-98385,UD Siregar (Persero) Tbk,Jasa Konsultansi,110,"983649207,7",Sedang,Penting,70 hari
PK-43140,PT Saputra Hasanah,Jasa Konsultansi,243,"660947076,1",Sedang,Penting,203 hari
PK-69573,PD Yulianti Nababan,Pengadaan Jasa,160,3363141094,Tinggi,Penting,120 hari
PK-72618,Perum Fujiati Suartini,Lisensi & Perangkat Lunak,53,4401658993,Tinggi,Penting,13 hari
PK-57202,Perum Rahayu Firgantoro,Jasa Konsultansi,94,1610055118,Tinggi,Penting,54 hari
PK-30228,Perum Hidayat Permata (Persero) Tbk,Lisensi & Perangkat Lunak,319,4792240148,Tinggi,Penting,279 hari
PK-23829,PD Sihotang (Persero) Tbk,Pengembangan Sistem,123,2470397281,Tinggi,Penting,83 hari
PK-24233,PT Mardhiyah Nurdiyanti (Persero) Tbk,Pengadaan Barang,240,2628818472,Tinggi,Penting,200 hari
PK-61212,UD Najmudin Tbk,Pengadaan Barang,170,3958835817,Tinggi,Penting,130 hari
PK-76502,Perum Hidayat Permata (Persero) Tbk,Pengadaan Jasa,31,"269547070,1",Rendah,Penting,-9 hari
PK-72862,UD Santoso Puspita (Persero) Tbk,Jasa Konsultansi,71,4224212772,Tinggi,Penting,31 hari
PK-88220,UD Iswahyudi Nababan,Jasa Konsultansi,240,4291663556,Tinggi,Penting,200 hari
PK-77480,PT Suryono,Pengembangan Sistem,73,"255660387,9",Rendah,Penting,33 hari
PK-44207,PT Hariyah Tbk,Pengadaan Barang,94,"684236096,4",Sedang,Penting,54 hari
PK-21060,UD Lailasari Zulaika (Persero) Tbk,Lisensi & Perangkat Lunak,74,4548647949,Tinggi,Penting,34 hari
PK-91497,Perum Yolanda (Persero) Tbk,Pengadaan Jasa,175,4364872650,Tinggi,Penting,135 hari
PK-61876,CV Widodo Winarsih,Lisensi & Perangkat Lunak,209,4973355192,Tinggi,Penting,169 hari
PK-54043,PD Situmorang Wahyudin,Lisensi & Perangkat Lunak,116,1360864331,Tinggi,Penting,76 hari
